SEASON,SEASON_START,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PTS,PLUS_MINUS,THREE_POINT_RATE
1996-97,1996,1610612737,Atlanta Hawks,82,56,26,0.683,34.3,76.9,0.446,8.0,22.4,0.36,18.2,23.8,0.763,12.5,28.7,41.1,19.0,15.0,8.5,5.2,94.8,5.4,0.2912873862158647
1996-97,1996,1610612738,Boston Celtics,82,15,67,0.183,37.4,85.0,0.44,5.7,16.2,0.351,20.1,26.8,0.75,13.3,26.7,40.0,21.9,16.4,9.9,3.8,100.6,-7.3,0.19058823529411764
1996-97,1996,1610612766,Charlotte Hornets,82,54,28,0.659,36.4,77.3,0.471,7.2,16.9,0.428,18.8,24.2,0.777,11.1,28.0,39.1,24.6,14.7,7.3,4.3,98.9,1.9,0.2186287192755498
1996-97,1996,1610612741,Chicago Bulls,82,69,13,0.841,40.0,84.4,0.473,6.4,17.1,0.373,16.8,22.5,0.747,15.1,30.0,45.1,26.1,13.5,8.7,4.0,103.1,10.8,0.20260663507109006
1996-97,1996,1610612739,Cleveland Cavaliers,82,42,40,0.512,33.0,72.8,0.453,5.9,15.7,0.376,15.6,21.6,0.723,11.1,26.3,37.4,20.9,14.5,8.0,3.8,87.5,1.8,0.21565934065934067
1996-97,1996,1610612742,Dallas Mavericks,82,24,58,0.293,34.3,78.7,0.436,5.2,16.0,0.326,16.8,23.4,0.717,12.7,27.6,40.3,20.3,16.1,8.0,4.3,90.6,-6.4,0.20330368487928843
1996-97,1996,1610612743,Denver Nuggets,82,21,61,0.256,35.8,81.5,0.439,7.8,20.9,0.372,18.5,24.3,0.761,12.1,29.9,42.0,23.0,16.6,6.1,5.9,97.8,-6.3,0.256441717791411
1996-97,1996,1610612765,Detroit Pistons,82,54,28,0.659,34.5,74.3,0.464,7.1,18.3,0.388,18.1,24.3,0.745,10.5,28.0,38.4,19.0,12.7,7.7,3.5,94.2,5.2,0.24629878869448185
1996-97,1996,1610612744,Golden State Warriors,82,30,52,0.366,36.5,80.1,0.456,5.9,16.6,0.353,20.7,26.6,0.778,13.2,27.5,40.8,22.2,17.2,7.5,4.4,99.6,-4.7,0.20724094881398256
1996-97,1996,1610612745,Houston Rockets,82,57,25,0.695,37.0,79.1,0.468,8.2,22.4,0.365,18.3,24.3,0.755,11.3,31.3,42.6,24.5,16.6,8.4,4.2,100.6,4.5,0.2831858407079646
1996-97,1996,1610612754,Indiana Pacers,82,39,43,0.476,34.8,76.3,0.456,5.2,13.8,0.381,20.6,28.5,0.722,12.5,29.1,41.7,21.3,16.3,7.1,4.8,95.4,1.0,0.18086500655307997
1996-97,1996,1610612746,Los Angeles Clippers,82,36,46,0.439,36.5,81.7,0.446,5.8,16.3,0.354,18.5,25.3,0.731,13.3,27.3,40.7,20.3,16.0,8.9,5.4,97.2,-2.4,0.19951040391676866
1996-97,1996,1610612747,Los Angeles Lakers,82,56,26,0.683,36.8,81.0,0.454,6.7,18.3,0.367,19.7,28.4,0.692,13.3,29.4,42.8,22.5,14.9,9.0,7.0,100.0,4.3,0.22592592592592595
1996-97,1996,1610612748,Miami Heat,82,61,21,0.744,34.4,76.0,0.453,8.3,22.7,0.364,17.7,24.7,0.719,11.7,29.3,41.0,21.2,15.9,7.9,5.4,94.8,5.5,0.2986842105263158
1996-97,1996,1610612749,Milwaukee Bucks,82,33,49,0.402,36.2,76.9,0.471,4.0,11.2,0.352,19.0,25.7,0.741,11.6,27.6,39.2,19.6,15.7,7.7,4.2,95.3,-1.9,0.14564369310793235
1996-97,1996,1610612750,Minnesota Timberwolves,82,40,42,0.488,35.8,78.5,0.456,4.5,13.3,0.339,20.0,26.6,0.751,11.7,28.1,39.7,22.9,15.2,7.5,6.8,96.1,-1.5,0.1694267515923567
1996-97,1996,1610612751,New Jersey Nets,82,26,56,0.317,36.5,86.5,0.422,5.9,16.7,0.353,18.3,24.8,0.74,17.2,29.0,46.2,21.0,15.7,8.3,5.9,97.2,-4.6,0.1930635838150289
1996-97,1996,1610612752,New York Knicks,82,57,25,0.695,35.1,75.9,0.463,5.7,15.8,0.363,19.3,25.8,0.748,11.9,30.7,42.5,22.1,17.8,7.7,4.6,95.4,3.1,0.20816864295125165
1996-97,1996,1610612753,Orlando Magic,82,45,37,0.549,34.6,79.2,0.437,6.9,20.3,0.341,18.0,24.1,0.746,13.1,27.1,40.1,20.6,15.2,8.5,4.4,94.1,-0.4,0.2563131313131313
1996-97,1996,1610612755,Philadelphia 76ers,82,22,60,0.268,36.6,83.5,0.438,5.3,16.5,0.319,21.7,29.9,0.725,15.5,28.7,44.2,20.7,17.5,8.3,4.8,100.2,-6.5,0.19760479041916168
1996-97,1996,1610612756,Phoenix Suns,82,40,42,0.488,38.3,81.8,0.469,6.4,17.4,0.369,19.7,25.9,0.761,11.2,29.0,40.1,25.2,14.4,8.1,3.9,102.8,0.7,0.21271393643031783
1996-97,1996,1610612757,Portland Trail Blazers,82,49,33,0.598,36.6,78.8,0.464,6.1,17.1,0.358,19.7,27.6,0.713,12.9,30.4,43.3,20.8,16.5,7.8,5.3,99.0,4.2,0.217005076142132
1996-97,1996,1610612758,Sacramento Kings,82,34,48,0.415,36.6,80.6,0.454,5.0,12.9,0.391,18.2,25.2,0.723,13.4,28.1,41.5,21.9,16.2,7.2,4.4,96.4,-3.9,0.1600496277915633
1996-97,1996,1610612759,San Antonio Spurs,82,20,62,0.244,34.5,77.9,0.442,4.6,14.4,0.32,16.9,23.5,0.719,13.4,26.0,39.4,20.3,15.2,7.9,5.3,90.5,-7.9,0.18485237483953787
